id;KOV;maakond;nimekiri;partei;nr;haali;ehaali
id_8485;Roosna-Alliku vald;J‰rva;Eesti Keskerakond;Eesti Keskerakond;nr119;8;0
id_10054;Tallinn 2;Tallinna linn;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr1438;34;14
id_4520;Lasva vald;Vıru;Valimisliit Koduvald Lasva;Muu;nr109;24;1
id_6183;Orissaare vald;Saare;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr130;16;3
id_3087;Kiili vald;Harju;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr145;12;5
id_650;Avinurme vald;Ida-Viru;Eesti Reformierakond;Eesti Reformierakond;nr106;27;7
id_5574;M‰etaguse vald;Ida-Viru;Valimisliit Kodupaik;Muu;nr133;11;1
id_9114;Saue vald;Harju;Valimisliit "Meie Vald";Muu;nr140;17;9
id_5429;Mustvee linn;Jıgeva;Eesti Keskerakond;Eesti Keskerakond;nr162;5;0
id_10156;Tallinn 2;Tallinna linn;‹le-eestiline Valimisliit;Muu;nr743;5;0
id_3928;Kunda linn;L‰‰ne-Viru;Valimisliit KUNDA;Muu;nr103;14;2
id_7826;Rae vald;Harju;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr116;28;9
id_633;Avinurme vald;Ida-Viru;Eesti Reformierakond;Eesti Reformierakond;nr103;36;8
id_1297;Helme vald;Valga;Eesti Keskerakond;Eesti Keskerakond;nr114;8;2
id_8935;Salme vald;Saare;Eesti Reformierakond;Eesti Reformierakond;nr103;8;8
id_1249;Harku vald;Harju;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr163;32;10
id_1626;Juuru vald;Rapla;Eesti Reformierakond;Eesti Reformierakond;nr115;25;9
id_10407;Tallinn 4;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr1115;15;1
id_4039;Kuressaare linn;Saare;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr182;978;295
id_12361;Tori vald;P‰rnu;Eesti Reformierakond;Eesti Reformierakond;nr121;9;5
id_10415;Tallinn 4;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr468;3;1
id_13674;Viljandi linn;Viljandi;Eesti Reformierakond;Eesti Reformierakond;nr127;18;9
id_2507;Karksi vald;Viljandi;Eesti Keskerakond;Eesti Keskerakond;nr145;25;4
id_4423;Laeva vald;Tartu;Eesti Reformierakond;Eesti Reformierakond;nr129;12;2
id_14510;V‰ike-Maarja vald;L‰‰ne-Viru;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr170;58;4
id_1640;Jıel‰htme vald;Harju;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr171;66;10
id_3045;Kiili vald;Harju;Valimisliit "Kiili valla k¸lade ¸hendus";Muu;nr116;24;10
id_954;Haaslava vald;Tartu;Valimisliit Koduvald Haaslava;Muu;nr119;10;3
id_4551;Leisi vald;Saare;Valimisliit Koduvald Leisi;Muu;nr116;12;6
id_6136;Orava vald;Pılva;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr109;5;0
id_13658;Viljandi linn;Viljandi;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr207;23;1
id_2255;Kadrina vald;L‰‰ne-Viru;Valimisliit Koduvald;Muu;nr129;57;14
id_758;Emmaste vald;Hiiu;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr105;8;1
id_4999;Maardu linn;Harju;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr224;8;4
