"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta";"aktsiate_arv"
"WEC";"Wisconsin Energy Corporation";"Utilities";55.31;-1.16;1437686;2.68;1.17;225500000
"VFC";"V.F. Corp.";"Consumer Discretionary";68.88;-3.18;7709868;2.921;1.109;431900000
"WFC";"Wells Fargo";"Financials";53.03;-0.13;14435564;4.1;1.05;5170700000
"WFM";"Whole Foods Market";"Consumer Staples";53.68;0.51;4026831;1.56;0.49;359700000
"WHR";"Whirlpool Corp.";"Consumer Discretionary";214.88;6.87;2154341;9.426;2.875;77900000
"VIAB";"Viacom Inc.";"Consumer Discretionary";66.08;-1.03;4305214;5.442;1.29;405800000
"WIN";"Windstream Communications";"Telecommunications Services";8.49;-0.59;4981268;0.255;1;602700000
"VLO";"Valero Energy";"Energy";54.29;-0.17;7770524;6.849;1.05;521200000
"WM";"Waste Management Inc.";"Industrials";52.22;-0.04;1773767;0.222;1.5;457900000
"WMB";"Williams Cos.";"Energy";45.36;-1.56;6519397;2.686;1.958;747500000
"VMC";"Vulcan Materials";"Materials";71.47;-0.49;1541622;1.33;0.22;131700000
"WMT";"Wal-Mart Stores";"Consumer Staples";86.65;0.53;8932258;4.871;1.92;3223300000
"VNO";"Vornado Realty Trust";"Financials";111.58;-0.38;622034;1.074;14.4937;187700000
"VRSN";"Verisign Inc.";"Information Technology";56.88;-0.8;1686232;4.02;0;121100000
"VRTX";"Vertex Pharmaceuticals Inc";"Health Care";109.27;0.51;2302622;-3.144;0;241800000
"VZ";"Verizon Communications";"Telecommunications Services";47.8;-0.06;19937396;2.42;2.16;4154800000
"VTR";"Ventas Inc";"Financials";78.57;-1.45;4092927;1.611;3.176;294300000
"WU";"Western Union Co";"Information Technology";17.69;0;4950246;1.488;0.5;522600000
"WY";"Weyerhaeuser Corp.";"Financials";35.29;-0.79;3147669;3.179;1.02;524500000
"WYN";"Wyndham Worldwide";"Consumer Discretionary";82.77;-0.8;1157818;4.154;1.4;1.23e+08
"WYNN";"Wynn Resorts Ltd";"Consumer Discretionary";146.11;-6.22;4808666;8.199;6.25;1.01e+08
"XEC";"Cimarex Energy";"Energy";110.11;-2.9;2144332;7.3;0.62;87200000
"XEL";"Xcel Energy Inc";"Utilities";37.2;-1.17;3178787;2.027;1.2;505700000
"XL";"XL Capital";"Financials";35.61;1.34;3215853;0.738;0.64;255200000
"XLNX";"Xilinx Inc";"Information Technology";39.84;1.36;3895150;2.377;0.87;261400000
"XOM";"Exxon Mobil Corp.";"Energy";91.46;-0.86;19632168;7.6;2.7;4234600000
"XRAY";"Dentsply International";"Health Care";50.67;-0.06;627134;2.16;0.264;141500000
"XRX";"Xerox Corp.";"Information Technology";13.41;-0.15;9476081;0.808;0.252;1116800000
"XYL";"Xylem Inc.";"Industrials";34.89;-1.41;1372185;1.67;0.512;181900000
"YHOO";"Yahoo Inc.";"Information Technology";44.045;-1.47;16281358;7.45;0;962600000
"YUM";"Yum! Brands Inc";"Consumer Discretionary";73.65;0.05;3768947;3.202;1.56;437500000
